Juhana	Lila	Sonja	Salla	
243	292	245	141	
8	10	7	0	
23	54	26	0	
0	16	3	8	
13	78	94	0	
17	14	0	123	
143	120	110	0	
39	0	5	10	
				
Juhana	Lila	Sonja	Salla	
262	19	223	146	
6	6	0	2	
0	4	15	4	
27	9	0	11	
8	0	14	88	
19	0	15	6	
25	0	6	20	
177	0	173	15	
				
Juhana	Anna	Lila	Sonja	Salla
290	189	87	632	51
10	93	9	20	0
4	30	18	123	0
10	0	16	136	19
14	12	12	104	0
117	23	0	119	7
113	12	11	0	25
22	19	21	130	0
				
Juhana	Kasa	Maisa		
272	294	130		
8	0	22		
0	7	6		
128	0	24		
15	23	0		
8	0	78		
107	135	0		
6	129	0		
				
Juhana	Kasa	Maisa		
146	214	520		
29	0	11		
0	12	104		
109	20	0		
0	38	84		
0	120	160		
8	16	0		
0	8	161		
				
Juhana	Kasa	Maisa		
225	304	66		
0	6	10		
0	17	19		
17	0	7		
0	115	28		
96	109	0		
112	48	0		
0	9	2		
				
Juhana	Kasa	Maisa		
197	208	16		
11	0	4		
0	22	7		
13	45	0		
97	14	0		
0	2	5		
66	110	0		
10	15	0		
				
Juhana	Otto	Noora		
389	148	102		
9	11	0		
11	111	0		
18	4	0		
27	4	0		
134	18	0		
160	0	97		
30	0	5		
				
Juhana	Viivi	Sanni		
67	239	35		
16	0	2		
16	7	0		
0	41	6		
7	0	2		
0	163	23		
13	0	2		
15	28	0		
				
Juhana	Lila	Ilu	Isra	
379	236	351	285	
4	6	13	0	
5	15	36	31	
0	130	29	33	
0	2	144	2	
81	36	0	36	
166	12	129	0	
123	35	0	183	
				
Juhana	Sanni	Viivi		
32	265	181		
5	0	8		
0	15	35		
0	91	9		
0	4	25		
18	0	52		
0	155	41		
9	0	11		
				
Juhana	Sanni	Katja	Kalle	Otto
44	61	283	338	367
8	4	0	16	5
10	0	15	2	87
8	0	15	71	131
0	7	79	13	7
0	36	6	105	113
12	4	8	0	24
6	10	160	131	0
				
Juhana	Sonja	Ilu	Aakee	Salla
219	234	167	146	438
0	15	18	15	5
21	12	8	0	6
24	50	0	127	24
5	11	4	0	141
13	16	128	0	107
142	29	4	4	0
14	101	5	0	155
				
Juhana	Kasa	Lila		
83	184	199		
0	2	9		
0	18	6		
0	2	18		
11	0	4		
63	16	0		
5	146	0		
4	0	162		
				
Juhana	Ilona	Viivi		
126	292	256		
2	0	9		
0	4	2		
124	110	0		
0	9	6		
0	15	117		
0	31	2		
0	123	120		
				
Juhana	Ville	Katja		
116	299	59		
15	29	0		
10	56	0		
0	4	26		
77	0	7		
12	0	16		
2	84	0		
0	126	10		
				
Juhana	Katja	Sanni		
87	135	273		
12	0	4		
0	5	9		
32	3	0		
6	90	0		
17	0	137		
0	22	123		
20	15	0		
				
Juhana	Katja	Sanni		
190	175	154		
7	0	9		
0	39	26		
23	0	4		
11	0	29		
132	0	82		
17	112	0		
0	24	4		
				
Juhana	Viivi	Sanni		
150	248	191		
10	0	14		
9	0	2		
0	105	38		
0	35	13		
0	98	112		
0	10	10		
131	0	2		
				
Juhana 	Katja	Sanni		
124	172	467		
0	17	6		
8	0	24		
29	0	106		
0	18	108		
0	26	114		
87	0	15		
0	111	94		
				
Juhana	Katja	Sanni		
186	302	367		
0	2	2		
0	20	27		
0	149	18		
0	20	15		
21	7	0		
0	104	150		
165	0	155		
				
Juhana	Katja	Sanni		
126	300	20		
0	6	2		
3	0	7		
15	14	0		
29	0	8		
47	4	0		
32	164	0		
0	112	3		
